,0,1,2,3,Cluster
생각,6.3974195,6.8913836,-1.608879,6.3358684,7
질문,4.309242,5.1282363,-1.3953317,-0.6048665,7
기대,6.302145,2.6894686,-3.0942879,1.6021298,7
의지,6.555263,4.5303774,-3.5346546,-0.012114628,7
곤란,4.988782,0.6953189,-2.0968485,2.8192952,7
이해,8.590712,1.6702403,-4.2371054,3.4796948,7
불안,4.666169,3.1550243,-3.8041117,1.188636,7
의도,6.4549737,2.6232908,-3.2243323,-1.5446545,7
충격,3.0459335,3.8767383,-3.604045,2.9040349,7
역할,4.189635,0.16131777,-3.9522576,0.748569,7
신뢰,8.399324,1.7472636,-3.171964,0.657193,7
의견,7.872838,4.759052,-3.141235,-2.9199371,7
만족,6.236821,1.5105366,-1.0722667,6.4858456,7
노력,7.4650884,3.3654234,-3.5850847,0.2876629,7
부담,10.094104,0.25138673,-2.969698,0.5603398,7
혐오,3.0452175,2.8833764,-2.8980823,0.14878783,7
불만,6.1688914,6.1814895,-1.9164823,-2.515426,7
긴장,2.8308432,1.0136197,-3.9123285,1.4483716,7
위협,8.706836,4.2111053,0.68442035,0.94164765,7
반성,4.0692024,2.1392987,-1.1622932,0.2417712,7
혼란,4.886987,3.0692222,-2.577637,2.1731153,7
의문,4.089477,4.310509,-2.8647516,-0.29130837,7
무기력,-0.6485973,-0.46795678,-0.1575985,0.68314713,8
애절,-2.1675837,-0.56623644,0.10295505,-0.12667218,8
산책,-3.1832566,-1.8185585,0.31798995,0.73972726,8
그냥,-2.528941,1.5192676,0.49335957,1.3897876,8
두통,-1.4456627,-0.92125505,-0.9002619,0.50835854,8
방황,-1.4296575,0.43073353,0.9644871,0.41596645,8
침,-3.0005143,-0.015275306,1.2727973,0.5272603,8
무식,-0.8866153,-0.77977514,0.8072313,0.33675516,8
자폭,-0.90025085,-2.3402138,1.3530583,0.8291731,8
씩씩,-2.1393516,-0.9002438,0.14131725,0.34873122,8
우울,-0.9393492,0.9581326,-2.069285,1.5724494,8
비통,-1.3763307,-0.5423326,0.9816802,-0.0072381026,8
쓸쓸,-1.5428989,-0.7490341,0.6709125,0.018738884,8
태연,-2.1300256,-0.32395858,0.5264398,-0.55588615,8
울음,-3.326843,-0.00053313165,0.06858985,0.8296419,8
귀찮,-1.4090149,0.53674257,0.28772822,0.36525646,8
불운,-0.9147417,0.28233913,-0.30380648,-0.18303609,8
참혹,-0.47461104,-0.21703716,1.416457,0.39750093,8
뺨,-2.9945042,-0.21347255,-0.097836666,0.29365075,8
