,0,1,2,3,Cluster
통증,-0.8793085,0.07033254,-3.5165455,1.1120492,1
폭발,-0.001594428,-2.8079846,0.8762416,9.139854,6
사과,0.7645922,1.6132214,2.3660805,-2.7167666,18
불,-3.2237244,-0.8181512,1.2666547,1.1026961,8
편안,-1.0296016,1.6287374,-0.9302201,2.1981883,0
밥,-7.31584,1.6582171,1.0086037,-0.86690724,15
자신감,0.7813399,3.0020447,-2.954834,-1.8037424,2
집,-5.649584,3.459779,1.8401421,-1.7697853,4
오물,-1.8286835,-2.5374262,0.20594452,-0.6581601,13
놀라움,-1.4024346,-1.2698829,-0.33461577,-1.0373368,13
멋,-3.611953,0.051346216,-0.8085183,-0.4794051,15
업고,-1.4138514,-2.3016257,0.60996497,-1.0194206,13
추위,-2.3612442,0.16967057,-2.1608546,2.0942492,1
공감대,-0.7190033,-1.9132917,-2.0266163,-2.0418165,13
열기,-1.7830108,-1.812565,-1.2144818,0.1319277,13
마음,0.06919363,13.243034,-5.2682886,0.060076702,11
강풍,-1.9157654,-3.0723355,-2.057455,2.7554,1
잠,-3.947397,1.4619412,2.7215278,1.2191564,4
지각,2.1769595,-1.2189142,-8.900703,3.9298234,19
퇴장,0.3060207,-1.0493697,3.720057,0.8717296,18
의지,6.555235,4.5404778,-3.5468867,-0.008969653,7
멸시,0.95961344,0.94124323,0.90457207,-0.7639426,18
빈약,1.3272947,-2.0507028,-0.31166348,3.4666808,10
담배,-3.558829,-3.1002126,-2.0428364,-0.43555743,1
본인,1.8086209,3.427497,0.49864793,-3.3550262,2
반대,7.819197,-0.17102733,2.3055778,-0.14720723,9
부끄러움,-1.2717053,-0.14872223,-0.6187721,-0.64470005,8
난감,-1.32899,-1.9585834,0.887611,-0.3540203,13
할아버지,-4.721811,3.6137562,3.2860768,-2.211802,4
동의,6.29585,-2.4360356,0.47443858,-2.6469452,3
고민,2.7453032,3.8199487,-0.2718002,2.0982037,0
억울,1.6365962,4.5603776,3.703072,1.2549863,16
기피,4.247316,-2.1288478,1.9277985,-0.15673627,18
자기애,-1.0856346,-1.8618737,-0.84416676,-1.4109123,13
충고,0.54031587,3.1128685,2.5551653,-1.6267166,18
억지,-0.21155472,0.2131799,0.73808646,-1.492611,8
단정,1.3193886,1.2172579,1.5131524,0.74546236,18
진심,-1.3927473,3.9455178,1.0711448,-1.3572656,4
